session,local_date,n_bins,amp_cpm,amp_pct,peak_hour_local,p_value,r_squared,run_number,run_label,run_date
1,2026-03-01,144,0.23001134072838797,1.673464939076586,15.64659015620693,0.219296392735584,0.02129247182296079,1,Run 1 (2026-03-01),2026-03-01
1,2026-03-02,144,0.1517901423722536,1.1065243354003393,8.178659058659608,0.48855833747711974,0.01010879172625534,1,Run 1 (2026-03-01),2026-03-01
38,2026-03-08,138,0.26499463342500595,1.949101642713035,18.57993286233934,0.12771161432808584,0.030028511326400054,2,Run 2 (2026-03-07),2026-03-07
39,2026-03-12,144,0.11511418490520657,0.8279750166230851,20.8881051787449,0.7494604742945747,0.00408244829850557,3,Run 3 (2026-03-11),2026-03-11
39,2026-03-13,144,0.2391112150575057,1.6840252669932219,12.557308127141726,0.2648916867102079,0.01866661900504074,3,Run 3 (2026-03-11),2026-03-11
39,2026-03-14,144,0.08656668596242442,0.6271931862414836,12.992540463482888,0.8618882151866791,0.002106001918859124,3,Run 3 (2026-03-11),2026-03-11
39,2026-03-15,144,0.14578247825834312,1.0563954317566346,23.31196856795643,0.6049188255707353,0.00710458555526805,3,Run 3 (2026-03-11),2026-03-11
39,2026-03-16,144,0.19862111657350986,1.4317828402734336,1.161293323739888,0.30886750801497903,0.016526354229912776,3,Run 3 (2026-03-11),2026-03-11
39,2026-03-17,144,0.22155287615188776,1.5805536780868568,21.184835835912953,0.2679678821443812,0.018505888246860502,3,Run 3 (2026-03-11),2026-03-11
39,2026-03-18,144,0.16745000481368338,1.2044593502523384,20.426662367269483,0.4863989109518889,0.010170988559202954,3,Run 3 (2026-03-11),2026-03-11
40,2026-03-19,74,0.2717791314743366,1.9257740616502277,18.998027903774023,0.7925016595607612,0.006529593993069516,4,Run 4 (2026-03-19),2026-03-19
41,2026-03-21,144,0.14495085918712286,1.0413968039591373,21.246058531694853,0.4994692065549715,0.00979861848699759,5,Run 5 (2026-03-20),2026-03-20
42,2026-03-22,143,0.29989998559054254,2.1814363052963985,20.767244970843212,0.0674678511861943,0.03778347191646303,6,Run 6 (2026-03-22),2026-03-22
42,2026-03-23,117,0.22207054882819185,1.5981682085253741,20.268837089249914,0.3910472849491624,0.016337471776279977,6,Run 6 (2026-03-22),2026-03-22
