model,term,coef,std_err,p_value,ci95_low,ci95_high
pressure_only,const,2.610027442432509,0.004450747536702584,0.0,2.6013041375562915,2.6187507473087264
pressure_only,dP,-0.0011213163256032002,0.0001652302218023623,1.1497601558102926e-11,-0.0014451616094933951,-0.0007974710417130053
pressure_only,sess_38,0.0008818701275777295,0.007931465597012336,0.9114686338545506,-0.014663516787184926,0.016427257042340385
pressure_only,sess_39,0.017878931859309305,0.005394158881807328,0.0009180765194954358,0.0073065747240800925,0.02845128899453852
pressure_only,sess_40,0.01908999812169407,0.009234972056153555,0.03872078045876431,0.0009897854933992901,0.03719021074998885
pressure_only,sess_41,0.016441506628875183,0.006761396081962513,0.015029254757332921,0.0031894138230184246,0.02969359943473194
pressure_only,sess_42,0.004357950365325574,0.005007294074872576,0.38412531359573776,-0.0054561656814254835,0.01417206641207663
atmospheric,const,2.608700672853576,0.004909537669790052,0.0,2.599078155840045,2.6183231898671075
atmospheric,dP,-0.0011810374472662752,0.00018507353382406192,1.7541934004368584e-10,-0.001543774908052992,-0.0008182999864795584
atmospheric,dT,-0.0011833619638897536,0.001752091979331746,0.4994220131434175,-0.0046173991409814725,0.0022506752132019654
atmospheric,sess_38,0.002386852864644032,0.008222399092046709,0.7715969346260845,-0.013728753222282359,0.018502458951570423
atmospheric,sess_39,0.018820798575251638,0.005588746980249354,0.0007581891649455976,0.007867055775255918,0.029774541375247356
atmospheric,sess_40,0.019962616488317854,0.00932608477935538,0.03231323804152575,0.0016838262040141314,0.038241406772621576
atmospheric,sess_41,0.017687688843805456,0.007027502726859174,0.011838443068437808,0.003914036597904454,0.031461341089706454
atmospheric,sess_42,0.006333992795552072,0.005906636545841578,0.28356201334617204,-0.00524280210406549,0.017910787695169635
diurnal,const,2.607254236823733,0.004963498385616607,0.0,2.5975259587506017,2.616982514896864
diurnal,dP,-0.0012035731154437595,0.00018367885086977766,5.6545731656665174e-11,-0.0015635770478702273,-0.0008435691830172916
diurnal,dT,-0.0020948250776928017,0.001724782484212005,0.22453986812043425,-0.005475336627913855,0.0012856864725282525
diurnal,sin24,-0.005909505096873841,0.0020488421012351964,0.003922667142700938,-0.009925161825304193,-0.0018938483684434893
diurnal,cos24,0.002147484307863922,0.00199121964937737,0.28082100459645876,-0.0017552344902241968,0.006050203105952041
diurnal,sess_38,0.003976223654454145,0.008203610144143602,0.6278948900169685,-0.012102556771274756,0.020055004080183046
diurnal,sess_39,0.02011092479438697,0.005642867341951786,0.0003653087282072564,0.009051108034624207,0.031170741554149735
diurnal,sess_40,0.0203822672615182,0.009000419362457213,0.02353779943553541,0.0027417694653451077,0.03802276505769129
diurnal,sess_41,0.017975928105693664,0.0070574785899834664,0.010863004710933846,0.004143524247663547,0.031808331963723784
diurnal,sess_42,0.008324723279803214,0.005955501280650872,0.1621669009687965,-0.0033478447401546624,0.01999729129976109
poisson_diurnal,const,2.610690851452514,0.0052261583301842504,0.0,2.6004477693478485,2.620933933557179
poisson_diurnal,dP,-0.0011824630687799968,0.00018605568386883807,2.0785024104784487e-10,-0.0015471255082818893,-0.0008178006292781043
poisson_diurnal,dT,-0.001902543370802083,0.0019249804565212615,0.3229840796272516,-0.005675435736527228,0.001870348994923061
poisson_diurnal,sin24,-0.0059278973601738245,0.0020462643537701047,0.003768263337812795,-0.009938501796411358,-0.0019172929239362913
poisson_diurnal,cos24,0.0023396087184819384,0.002071378838817667,0.2586897539877576,-0.001720219203939086,0.006399436640902962
poisson_diurnal,sess_38,0.004199998316705665,0.008068885264407308,0.6027027325820085,-0.011614726196918609,0.02001472283032994
poisson_diurnal,sess_39,0.020649693605307884,0.005772742282297309,0.0003474233321330415,0.009335326639973605,0.03196406057064216
poisson_diurnal,sess_40,0.020954292044978125,0.00923874255994181,0.023323771663072663,0.0028466893650547984,0.03906189472490145
poisson_diurnal,sess_41,0.017437343397732022,0.007914231614291202,0.02757435073180068,0.0019257344684129735,0.03294895232705107
poisson_diurnal,sess_42,0.008130230293542488,0.006128021653808787,0.18459800662974402,-0.0038804714444043136,0.02014093203148929
